"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","night","amy","horrible","room","methadone","many","teaching","little","kept","york","time","issues","treatment","wan","school"
"2","day","sullivan","love","let","patients","seen","montana","bit","write","completely","depression","mothering","months","counselor","high"
"3","anon","yes","set","hour","use","behavior","heart","department","re","wife","loved","drink","ago","pretty","pot"
"4","called","laughs","hurt","hold","clinic","disease","back","fire","ones","spencer","cool","harm","st","funny","grade"
"5","nar","laughing","help","hand","care","times","quiet","white","truth","house","summer","prison","years","hearing","year"
"6","meeting","give","makes","ride","medical","illness","attack","earth","roommate","new","wow","reduction","couple","incredible","smoking"
"7","next","permission","sense","guys","heroin","blah","lack","piece","hate","jeff","longer","deal","half","guess","srg"
"8","week","sorry","control","stay","opioid","safe","david","around","grandpa","losing","divorce","pull","paul","higher","middle"
"9","therapist","record","bunch","dick","doctor","children","caught","traditional","vivitrol","hung","full","involved","fairview","forward","junior"
"10","divorced","true","find","tired","suboxone","happen","means","gay","beautiful","south","camp","lot","meet","physically","senior"
"11","cancer","thank","hard","narcan","mostly","afraid","matthew","eye","addicts","houses","shawn","keeping","center","teacher","graduated"
"12","worry","narrator","kid","asleep","primary","drank","apartment","medicine","pain","lived","stayed","personality","several","mean","girls"
"13","wednesday","weird","worker","plan","worse","connected","major","cell","man","overdosed","cousin","science","outpatient","mentally","june"
"14","wound","interview","explain","happens","wish","crisis","american","now","star","taught","short","ways","old","hope","class"
"15","police","gosh","sharing","get","eyes","doctors","chicago","sponsor","welcome","charge","powerful","teenager","weeks","helpful","finish"
"16","jessica","noah","naranon","dog","addict","save","drive","pause","option","daughter","scary","stigma","cities","twenties","degree"
"17","died","nancy","blame","send","patient","field","dating","almost","word","pass","brianna","big","nursing","ill","college"
"18","friday","dude","positive","lunch","withdrawal","consequences","straight","language","young","carson","relationship","addiction","duluth","recording","ryan"
"19","came","interviewer","reason","bring","less","proud","came","attention","sex","wisconsin","period","particular","inpatient","committed","classes"
"20","october","single","person","officer","abuse","dogs","agree","song","best","environment","guilty","part","huge","felt","started"
"21","thursday","conversation","awareness","overnight","unclear","changing","heights","meds","pills","council","long","sudden","california","liked","writing"
"22","cat","bottom","boundaries","looked","overdose","uncomfortable","loss","seemed","neighbor","non","kids","depressed","background","stories","eighth"
"23","nights","fight","paid","weekends","using","band","andy","willing","lucky","dakota","emotional","anger","cabin","ass","charged"
"24","monty","lady","important","waiting","north","parenting","appreciate","interested","ground","dead","project","lying","moved","shame","football"
"25","spoke","alex","step","probation","test","change","awesome","treat","naloxone","minutes","heal","things","office","survive","played"
"26","morning","allison","energy","minute","either","feel","stealing","right","decide","pay","gave","health","term","barely","public"
"27","charges","sound","try","panic","dr","healthy","mentioned","wonder","telling","rent","number","questions","year","stomach","chronic"
"28","upstairs","name","amends","games","obviously","actually","weight","spelling","book","cops","july","ask","living","easy","semester"
"29","wedding","clearly","selfish","computer","xanax","helping","board","noise","inside","raymond","tools","became","planned","realized","sophomore"
"30","found","treated","position","damn","louis","prozac","ali","tried","shut","money","play","apart","sisters","much","ninth"
